task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task146,265,265,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task146.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task146.onnx,,unchanged,,,,,,,,,,,,,,,,
task147,532,532,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task147.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task147.onnx,,unchanged,,,,,,,,,,,,,,,,
task153,793,775,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task153.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task153.onnx,,unchanged,,,,,,,,,,,,,,,,
task154,2679,2679,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task154.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task154.onnx,,unchanged,,,,,,,,,,,,,,,,
task155,138,138,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task155.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task155.onnx,,unchanged,,,,,,,,,,,,,,,,
task157,4039,6823,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task157.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task157.onnx,,unchanged,,,,,,,,,,,,,,,,
task158,18560,26250,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task158.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task158.onnx,crop_conv:1,accepted_derived,task158,True,True,266,266,0,17884,646,18530,15.172853680720594,6298,2bc70de0835bb0f07c0b47bf7f9043b0a10ea6fb900fded3dfcad59ae3f2c7fd,,30,7720,True
task159,1568,1568,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task159.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task159.onnx,,unchanged,,,,,,,,,,,,,,,,
task160,1334,1334,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task160.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task160.onnx,,unchanged,,,,,,,,,,,,,,,,
task164,30,30,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task164.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task164.onnx,,unchanged,,,,,,,,,,,,,,,,
