task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v143_default_all_v001\task249.onnx,True,False,3,3,0,7276,322,7598,16.06435966625243,2397,96a900e6325ae74d613d02682a1a9489f9cc58bc2415962d5669c52d0f8a739d,,96a900e6325ae74d613d02682a1a9489f9cc58bc2415962d5669c52d0f8a739d
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v145_default_all_v001\task118.onnx,True,False,3,3,0,114302,142,114444,13.352159100633088,6394,d0af7ff45ba54e7004c759105166fb8bd7bf8129c5983779b3eb8402fc02e91d,,d0af7ff45ba54e7004c759105166fb8bd7bf8129c5983779b3eb8402fc02e91d
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v190_changed_low_20260627\task118.onnx,True,False,3,3,0,37485,4577,42062,14.353100000756376,38708,b3267af2ba52dc12e4b3d9ab7043b412e6b90bc43500e1bb04b10c3f70fb5e11,,b3267af2ba52dc12e4b3d9ab7043b412e6b90bc43500e1bb04b10c3f70fb5e11
task133,F:\kaggle\neurogolf-2026\experiments\onnxsim_all_v002_from_v118\task133.onnx,True,False,3,3,0,196254,426,196680,12.810666678474124,14178,851affd5c017db1530d918b91603ae1dc2709bc15b51d5f3a65326d816fea1ab,,851affd5c017db1530d918b91603ae1dc2709bc15b51d5f3a65326d816fea1ab
task249,F:\kaggle\neurogolf-2026\experiments\onnxsim_all_v002_from_v118\task249.onnx,True,False,3,3,0,8676,323,8999,15.895131260966052,2489,2d59aa5b7eb10bed8bfd9b80352a36aef52175d87293b16bb5987f771de2716b,,2d59aa5b7eb10bed8bfd9b80352a36aef52175d87293b16bb5987f771de2716b
task315,F:\kaggle\neurogolf-2026\experiments\onnxsim_all_v002_from_v118\task315.onnx,True,False,3,3,0,9540,17,9557,15.83497085073382,1674,981e1b3065ae11511af4fbc3da14aac83d0d2d0c9a232a880269fef651b31466,,981e1b3065ae11511af4fbc3da14aac83d0d2d0c9a232a880269fef651b31466
task321,F:\kaggle\neurogolf-2026\experiments\onnxsim_all_v002_from_v118\task321.onnx,True,False,3,3,0,5376,135,5511,16.385498626116764,2450,9a1c8f476153816184df3abcdc6c3c56c3a9373ce38eff07f167b9b49b54bf10,,9a1c8f476153816184df3abcdc6c3c56c3a9373ce38eff07f167b9b49b54bf10
task118,F:\kaggle\neurogolf-2026\experiments\onnxsim_latest_low20_20260626\task118.onnx,True,False,3,3,0,37649,4769,42418,14.344671920564709,41983,0bb528eb6b96dcaee6c9ed2033ea2d3611f173d63addcc59a13847248b0de012,,0bb528eb6b96dcaee6c9ed2033ea2d3611f173d63addcc59a13847248b0de012
task118,F:\kaggle\neurogolf-2026\experiments\onnxsim_v190_changed_low_20260627\task118.onnx,True,False,3,3,0,37485,4577,42062,14.353100000756376,40503,5582a6586be014ca511147fcb47f11f43b275a396449885d5436b8529ad9810e,,5582a6586be014ca511147fcb47f11f43b275a396449885d5436b8529ad9810e
task118,F:\kaggle\neurogolf-2026\experiments\task118_bool_pad_20260703\task118.onnx,True,False,3,3,0,29613,4253,33866,14.569833159774713,29071,44d3354519c69677df16d4bfc9cb2a5fc84faaf3ee1496be04bd78732fe3cd87,,44d3354519c69677df16d4bfc9cb2a5fc84faaf3ee1496be04bd78732fe3cd87
task118,F:\kaggle\neurogolf-2026\experiments\task118_compact_labels_20260629\task118.onnx,True,False,3,3,0,32823,3242,36065,14.506921855062227,27842,55225bd251d4f93893b91cb5810eadca9a408a6b809a1e0ec6c8b0777c503f82,,55225bd251d4f93893b91cb5810eadca9a408a6b809a1e0ec6c8b0777c503f82
