task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task107,3681,16.78906,work/public-kernel-outputs/latest_frank_726672/submission.zip::task107.onnx,5852aa6aaa9900a9a59f2fa1cfeabbf18f64c8969c26a4ff4560e0a02dad4177,5666,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_38'
task114,900,18.197605,work/public-kernel-outputs/latest_frank_726672/submission.zip::task114.onnx,73a3da0a6b40bf1ac49e7095185ec632fd838bc9a57322d5876e09d66f28afbd,3835,True,900,18.197605236675688,0,2.3667568882501655e-07,
task115,1043,18.050144,work/public-kernel-outputs/latest_frank_726672/submission.zip::task115.onnx,3d1c4857fc063a6cfadb4333ebf89b1082e9e12613cdfba67f6f741d0a13a34d,3437,True,1014,18.078341815848873,-29,0.028197815848873375,
task127,396,19.018586,work/public-kernel-outputs/latest_frank_726672/submission.zip::task127.onnx,2421f9f0f87224c60a248e8d2e6577324615aef1a990193582137234da46f320,1009,True,396,19.01858578874552,0,-2.1125448057546237e-07,
task133,21278,15.034571,work/public-kernel-outputs/latest_frank_726672/submission.zip::task133.onnx,387342495b3dee33a80b27ff571cba8babb42398b79b1fb25a4bd83e2b55c536,6941,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_79'
task137,3526,16.832081,work/public-kernel-outputs/latest_frank_726672/submission.zip::task137.onnx,ca3758bf7f3244d531c543412a3700385691adebbfdc6578ecaea416561f6469,2695,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_38'
task145,12855,15.538512,work/public-kernel-outputs/latest_frank_726672/submission.zip::task145.onnx,2dbfb6f9d5ea294d2e0be0fbfd5fbb2460a1e249de794bd3bb31f95a48b4f883,3877,False,,,,,ValidationError: Your model ir_version 13 is higher than the checker's (12).
task147,532,18.723357,work/public-kernel-outputs/latest_frank_726672/submission.zip::task147.onnx,f8c50aeec09138e2867f0b468a7f41db144b8a4a6df6a3889a0a8801a6aa4d2b,1309,True,532,18.723356510658355,0,-4.893416445383991e-07,
task153,793,18.324177,work/public-kernel-outputs/latest_frank_726672/submission.zip::task153.onnx,cc41bafe54a98f1d19c700807c9620636cc7f839ac016b8c89ed74de2006562e,5644,True,793,18.324176778365153,0,-2.216348455874595e-07,
task154,2743,17.083193,work/public-kernel-outputs/latest_frank_726672/submission.zip::task154.onnx,7b40abef1673818c738f89fdaea726928d9b1fbafe0f05c5b940b93ba499529a,3733,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_55'
task155,138,20.072746,work/public-kernel-outputs/latest_frank_726672/submission.zip::task155.onnx,0faf6dbc5525fca74bf5f2e0335d3a0691b1edcd44f0463c4c8148d20e1fd979,593,True,138,20.072746314842796,0,3.1484279716664787e-07,
task157,6847,16.168434,work/public-kernel-outputs/latest_frank_726672/submission.zip::task157.onnx,4a6254c1ad16977b28c2f462b8fd9834ff26d30d688ebcb99f4bec4631944ca0,39134,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_57'
task160,1334,17.804063,work/public-kernel-outputs/latest_frank_726672/submission.zip::task160.onnx,4009d245574a3c5628037d425de0c5e9c4bf45e9d091aff99f67916c50eca6c3,1376,True,1334,17.804062773524432,0,-2.264755671887997e-07,
task164,30,21.598803,work/public-kernel-outputs/latest_frank_726672/submission.zip::task164.onnx,250771b94d3db4658d4ac04e3bd9a0740f2af0f3aba0bb9b5df4d6181bb470d4,479,True,30,21.598802618337846,0,-3.816621543251131e-07,
task166,24,21.821946,work/public-kernel-outputs/latest_frank_726672/submission.zip::task166.onnx,5b27fd62c7975ee02404cfb956fcf535d40fba52b6f0b09987d88c744fe4ede8,352,True,24,21.821946169652055,0,1.69652054182734e-07,
task167,146,20.016393,work/public-kernel-outputs/latest_frank_726672/submission.zip::task167.onnx,e9b26cbc8bf2c2bf3a198186c75383cb3cc1b6aa3710c7c0e91eae7c49784a4d,847,True,146,20.016393378291664,0,3.7829166288361193e-07,
task173,13383,15.498259,work/public-kernel-outputs/latest_frank_726672/submission.zip::task173.onnx,804b575ba69cd27c923f1e2fe031438bd3e3a50ea0725310cea6f4e3584b494e,4073,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_53'
task182,6095,16.284776,work/public-kernel-outputs/latest_frank_726672/submission.zip::task182.onnx,d52fe5f210be17ee30353ed473d10acfc60bcff05936bbb1f6dfc9d3aa604217,2135,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_31'
task200,753,18.375935,work/public-kernel-outputs/latest_frank_726672/submission.zip::task200.onnx,1e529cfaf059e7c37000455e34dd4715ac501ef5ca1312b6a43ba5a3d3fdc68c,1326,True,623,18.565453481212547,-130,0.18951848121254855,
task217,1470,17.706982,work/public-kernel-outputs/latest_frank_726672/submission.zip::task217.onnx,6f702690e2769bff117871d891c2ac5e79d2b017f0cb48ba289a20b3f6c472a7,1049,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(11) node with name 'safe_name_9'
task219,8739,15.924449,work/public-kernel-outputs/latest_frank_726672/submission.zip::task219.onnx,b90add754f9a616658023f986e451508b8e06b4b471ac78d9edb79c720f19f71,9609,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_32'
