task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task056,B,same_shape_rules_fill,primary,P3_ge17p5,34,21.473639,0.000000,0.000000,shape_change,shrink,new_output_colors,46,scripts/v244_costs.txt,
task057,B,same_shape_rules_fill,primary,P3_ge17p5,668,18.495712,0.000000,0.504288,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task058,A,shape_relayout_high_cost,primary,P3_ge17p5,1033,18.059778,0.000000,0.940222,same_shape,same_size,new_output_colors,22,scripts/v244_costs.txt,
task059,F,tail_validation_packaging,primary,P3_ge17p5,547,18.695551,0.000000,0.304449,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task060,E,public_source_ab_testing,primary,P3_ge17p5,1010,18.082294,0.000000,0.917706,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task061,C,onnx_equiv_compression,primary,P3_ge17p5,1668,17.580619,0.419381,1.419381,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task062,F,tail_validation_packaging,primary,P2_16p7_17p5,2524,17.166400,0.833600,1.833600,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task063,B,same_shape_rules_fill,primary,P3_ge17p5,1706,17.558093,0.441907,1.441907,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task064,E,public_source_ab_testing,primary,P0_lt16,12685,15.551825,2.448175,3.448175,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task065,C,onnx_equiv_compression,primary,P3_ge17p5,638,18.541662,0.000000,0.458338,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task066,F,tail_validation_packaging,primary,P0_lt16,10743,15.717990,2.282010,3.282010,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task067,F,tail_validation_packaging,primary,P0_check_score_anomaly,0,1.000000,17.000000,18.000000,shape_change,shrink,input_palette_only,266,reports/v241_deadnode_manifest_20260708.csv,score anomaly: absent from v244_costs; latest zip contains tiny ONNX; verify cost/points manually
task068,B,same_shape_rules_fill,primary,P3_ge17p5,623,18.565453,0.000000,0.434547,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task069,C,onnx_equiv_compression,primary,P2_16p7_17p5,3905,16.729987,1.270013,2.270013,same_shape,same_size,input_palette_only,264,scripts/v244_costs.txt,
task070,F,tail_validation_packaging,primary,P2_16p7_17p5,3006,16.991634,1.008366,2.008366,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task071,F,tail_validation_packaging,primary,P2_16p7_17p5,2691,17.102332,0.897668,1.897668,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task072,C,onnx_equiv_compression,primary,P3_ge17p5,421,18.957367,0.000000,0.042633,shape_change,shrink,new_output_colors,268,scripts/v244_costs.txt,
task073,D,mid_low_score_rule_mining,primary,P3_ge17p5,40,21.311121,0.000000,0.000000,same_shape,same_size,input_palette_only,15,scripts/v244_costs.txt,
task074,D,mid_low_score_rule_mining,primary,P0_lt16,9050,15.889480,2.110520,3.110520,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task075,C,onnx_equiv_compression,primary,P3_ge17p5,1487,17.695484,0.304516,1.304516,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task076,B,same_shape_rules_fill,primary,P0_lt16,12825,15.540848,2.459152,3.459152,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task077,C,onnx_equiv_compression,primary,P0_lt16,8510,15.951003,2.048997,3.048997,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task078,E,public_source_ab_testing,primary,P3_ge17p5,1293,17.835280,0.164720,1.164720,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task079,F,tail_validation_packaging,primary,P2_16p7_17p5,3129,16.951531,1.048469,2.048469,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task080,F,tail_validation_packaging,primary,P0_lt16,9773,15.812621,2.187379,3.187379,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task081,C,onnx_equiv_compression,primary,P3_ge17p5,464,18.860115,0.000000,0.139885,same_shape,same_size,new_output_colors,264,scripts/v244_costs.txt,
task082,D,mid_low_score_rule_mining,primary,P3_ge17p5,190,19.752976,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task083,B,same_shape_rules_fill,primary,P3_ge17p5,210,19.652892,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task084,E,public_source_ab_testing,primary,P2_16p7_17p5,2038,17.380276,0.619724,1.619724,same_shape,same_size,new_output_colors,175,scripts/v244_costs.txt,
task085,E,public_source_ab_testing,primary,P1_16_16p7,5381,16.409370,1.590630,2.590630,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task086,A,shape_relayout_high_cost,primary,P2_16p7_17p5,3134,16.949935,1.050065,2.050065,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task087,D,mid_low_score_rule_mining,primary,P3_ge17p5,5,23.390562,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task088,B,same_shape_rules_fill,primary,P2_16p7_17p5,1872,17.465237,0.534763,1.534763,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task089,D,mid_low_score_rule_mining,primary,P1_16_16p7,6739,16.184333,1.815667,2.815667,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task090,B,same_shape_rules_fill,primary,P2_16p7_17p5,3058,16.974484,1.025516,2.025516,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task091,C,onnx_equiv_compression,primary,P2_16p7_17p5,3013,16.989308,1.010692,2.010692,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task092,E,public_source_ab_testing,primary,P1_16_16p7,6553,16.212322,1.787678,2.787678,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task093,E,public_source_ab_testing,primary,P2_16p7_17p5,3531,16.830664,1.169336,2.169336,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task094,C,onnx_equiv_compression,primary,P2_16p7_17p5,2703,17.097882,0.902118,1.902118,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task095,D,mid_low_score_rule_mining,primary,P3_ge17p5,345,19.156456,0.000000,0.000000,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task096,C,onnx_equiv_compression,primary,P1_16_16p7,7678,16.053886,1.946114,2.946114,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
